Customer ID,Unix time,Readable time,,Location,Latitude,Longitude
08b431c35a354164ca4483681928b886,1440000002,12:00:02 AM,0,Robertson Quay,1.2908317,103.8380232
005e20c4b86819de726ce803bd971ee1,1440086406,12:00:06 AM,1,Central Water Catchment,1.3551526,103.7972022
02ab57300a8f86e55f7ef5c8681e9c13,1440000014,12:00:14 AM,0,Mandai West,1.4260074,103.8241046
062c8888ad13d7866c754080100b3d81,1440000019,12:00:19 AM,0,Mount Pleasant,1.3328291,103.8324641
033fead8df967161b3de3a671e5d69db,1440000025,12:00:25 AM,0,Queensway,1.2883639,103.8031813
05e8495f1f457d12460e9972225a2a82,1440000026,12:00:26 AM,0,Bishan East,1.350772,103.848183
033fead8df967161b3de3a671e5d69db,1440000028,12:00:28 AM,0,Mei Chin,1.2933829,103.802453
00b8184aba7f374d6220ccd2e6783438,1440000035,12:00:35 AM,0,Clementi West,1.3161811,103.7649377
05e028d65fd3e190e23afb9090138a13,1440000035,12:00:35 AM,0,Bukit Batok Central,1.348447,103.752573
062c8888ad13d7866c754080100b3d81,1440000035,12:00:35 AM,0,Mount Pleasant,1.3328291,103.8324641
05f3e7273f35a26117f66eb5b149a101,1440000036,12:00:36 AM,0,Yishun West,1.430368,103.8353628
033fead8df967161b3de3a671e5d69db,1440000038,12:00:38 AM,0,Mei Chin,1.2933829,103.802453
0764c6a196f74f23e9e8511beae30c1c,1440000039,12:00:39 AM,0,Kaki Bukit,1.3362352,103.9071892
062c8888ad13d7866c754080100b3d81,1440000043,12:00:43 AM,0,Toa Payoh West,1.3352492,103.8413198
05e028d65fd3e190e23afb9090138a13,1440000044,12:00:44 AM,0,Bukit Batok Central,1.348447,103.752573
0764c6a196f74f23e9e8511beae30c1c,1440000044,12:00:44 AM,0,Kembangan,1.320982,103.912842
033fead8df967161b3de3a671e5d69db,1440000047,12:00:47 AM,0,Mei Chin,1.2933829,103.802453
033fead8df967161b3de3a671e5d69db,1440000048,12:00:48 AM,0,Queensway,1.2883639,103.8031813
07f2042609111615b8178bfadff5ca5a,1440000050,12:00:50 AM,0,Tengah,1.3555189,103.7308145
062c8888ad13d7866c754080100b3d81,1440000053,12:00:53 AM,0,Toa Payoh West,1.3352492,103.8413198
005e20c4b86819de726ce803bd971ee1,1440086455,12:00:55 AM,1,Woodlands South,1.4381922,103.7889597
01b2c52d0f8257917ee62ac5461b7b78,1440000056,12:00:56 AM,0,Kallang Way,1.3228246,103.8779514
05e028d65fd3e190e23afb9090138a13,1440000056,12:00:56 AM,0,Bukit Batok South,1.3590288,103.7636796
033fead8df967161b3de3a671e5d69db,1440000058,12:00:58 AM,0,Queensway,1.2883639,103.8031813
0805aba25713e990f7fd9fd53052bffe,1440000062,12:01:02 AM,0,Central Water Catchment,1.3551526,103.7972022
062c8888ad13d7866c754080100b3d81,1440000065,12:01:05 AM,0,Mount Pleasant,1.3328291,103.8324641
0764c6a196f74f23e9e8511beae30c1c,1440000066,12:01:06 AM,0,Bedok Reservoir,1.3413025,103.9245499
0764c6a196f74f23e9e8511beae30c1c,1440000070,12:01:10 AM,0,Kembangan,1.320982,103.912842
0764c6a196f74f23e9e8511beae30c1c,1440000071,12:01:11 AM,0,Kembangan,1.320982,103.912842
033fead8df967161b3de3a671e5d69db,1440000077,12:01:17 AM,0,Mei Chin,1.2933829,103.802453
033fead8df967161b3de3a671e5d69db,1440000078,12:01:18 AM,0,Mei Chin,1.2933829,103.802453
05e028d65fd3e190e23afb9090138a13,1440000079,12:01:19 AM,0,Toh Guan,1.3373084,103.7475179
0764c6a196f74f23e9e8511beae30c1c,1440000080,12:01:20 AM,0,Kaki Bukit,1.3362352,103.9071892
033fead8df967161b3de3a671e5d69db,1440000085,12:01:25 AM,0,Queensway,1.2883639,103.8031813
02ab57300a8f86e55f7ef5c8681e9c13,1440000086,12:01:26 AM,0,Nee Soon,1.4007817,103.821278
02ab57300a8f86e55f7ef5c8681e9c13,1440000088,12:01:28 AM,0,Nee Soon,1.4007817,103.821278
05e028d65fd3e190e23afb9090138a13,1440000088,12:01:28 AM,0,Toh Guan,1.3373084,103.7475179
083511bad5e5bb6082345b59f9b47641,1440000089,12:01:29 AM,0,Bedok North,1.3236038,103.9273405
0764c6a196f74f23e9e8511beae30c1c,1440000090,12:01:30 AM,0,Kaki Bukit,1.3362352,103.9071892
05e028d65fd3e190e23afb9090138a13,1440000095,12:01:35 AM,0,Bukit Batok Central,1.348447,103.752573
062c8888ad13d7866c754080100b3d81,1440000095,12:01:35 AM,0,Mount Pleasant,1.3328291,103.8324641
083511bad5e5bb6082345b59f9b47641,1440000095,12:01:35 AM,0,Bedok North,1.3236038,103.9273405
062c8888ad13d7866c754080100b3d81,1440000096,12:01:36 AM,0,Mount Pleasant,1.3328291,103.8324641
033fead8df967161b3de3a671e5d69db,1440000098,12:01:38 AM,0,Mei Chin,1.2933829,103.802453
0764c6a196f74f23e9e8511beae30c1c,1440000098,12:01:38 AM,0,Kaki Bukit,1.3362352,103.9071892
01a1fc8d11425095ceae51407f3f97c9,1440000100,12:01:40 AM,0,Lakeside,1.3442374,103.7207253
033fead8df967161b3de3a671e5d69db,1440000102,12:01:42 AM,0,Mei Chin,1.2933829,103.802453
02ab57300a8f86e55f7ef5c8681e9c13,1440000104,12:01:44 AM,0,Nee Soon,1.4007817,103.821278
05e028d65fd3e190e23afb9090138a13,1440000104,12:01:44 AM,0,Bukit Batok Central,1.348447,103.752573
01a1fc8d11425095ceae51407f3f97c9,1440000107,12:01:47 AM,0,Boon Lay Place,1.3462189,103.7127554
033fead8df967161b3de3a671e5d69db,1440000108,12:01:48 AM,0,Margaret Drive,1.2968341,103.8084694
01a1fc8d11425095ceae51407f3f97c9,1440000111,12:01:51 AM,0,Boon Lay Place,1.3462189,103.7127554
07f2042609111615b8178bfadff5ca5a,1440000114,12:01:54 AM,0,Wenya,1.3527849,103.703493
0764c6a196f74f23e9e8511beae30c1c,1440000115,12:01:55 AM,0,Kaki Bukit,1.3362352,103.9071892
033fead8df967161b3de3a671e5d69db,1440000116,12:01:56 AM,0,Margaret Drive,1.2968341,103.8084694
05e028d65fd3e190e23afb9090138a13,1440000116,12:01:56 AM,0,Bukit Batok South,1.3590288,103.7636796
066bdb8ed77bb5dc56c2a9d4e48172de,1440000116,12:01:56 AM,0,Woodlands West,1.4381922,103.7889597
0764c6a196f74f23e9e8511beae30c1c,1440000120,12:02:00 AM,0,Bedok Reservoir,1.3413025,103.9245499
0805aba25713e990f7fd9fd53052bffe,1440000120,12:02:00 AM,0,Mount Pleasant,1.3328291,103.8324641
01a1fc8d11425095ceae51407f3f97c9,1440000121,12:02:01 AM,0,Hong Kah,1.3559341,103.7179451
01a1fc8d11425095ceae51407f3f97c9,1440000122,12:02:02 AM,0,Hong Kah,1.3559341,103.7179451
01bcb0f79e312031d713a2fc222b7816,1440000123,12:02:03 AM,0,Balestier,1.3234267,103.8520588
07f2042609111615b8178bfadff5ca5a,1440000124,12:02:04 AM,0,Wenya,1.3527849,103.703493
062c8888ad13d7866c754080100b3d81,1440000125,12:02:05 AM,0,Mount Pleasant,1.3328291,103.8324641
0764c6a196f74f23e9e8511beae30c1c,1440000126,12:02:06 AM,0,Bedok Reservoir,1.3413025,103.9245499
066bdb8ed77bb5dc56c2a9d4e48172de,1440000127,12:02:07 AM,0,Woodlands West,1.4381922,103.7889597
01bcb0f79e312031d713a2fc222b7816,1440000128,12:02:08 AM,0,Balestier,1.3234267,103.8520588
02ab57300a8f86e55f7ef5c8681e9c13,1440000131,12:02:11 AM,0,Nee Soon,1.4007817,103.821278
033fead8df967161b3de3a671e5d69db,1440000131,12:02:11 AM,0,Commonwealth,1.302559,103.798225
05e01d8b279795981a44833d201131d9,1440000131,12:02:11 AM,0,Leonie Hill,1.296791,103.833203
0764c6a196f74f23e9e8511beae30c1c,1440000131,12:02:11 AM,0,Kembangan,1.320982,103.912842
033fead8df967161b3de3a671e5d69db,1440000132,12:02:12 AM,0,Leedon Park,1.3163348,103.7960521
